Method,BRISQUE,Sharpness(LapVar),Entropy,Colorfulness,Mean Luminance,Underexposed Ratio,Overexposed Ratio,Images Processed
HistogramEQ,26.5660400390625,4153.42466845872,7.539224230930557,152.05476176910759,127.41375855194585,0.12571822541342123,0.043691523261151236,64
CLAHE,15.746658325195312,1259.3143950807282,7.218526633414232,147.02064224671273,95.85041808738733,0.266523389944326,0.026889559441172186,64
Gamma,23.16608428955078,644.181112567665,6.990321644695991,159.28352793118322,124.9725546699029,0.14066578159707585,0.05059511359514563,64
RetinexSSR,27.058998107910156,627.0854862992015,5.5476341487135015,169.96870616052541,156.94790738951713,0.0002689074643687624,7.774102696192074e-06,64
RetinexMSR,26.621658325195312,778.2471869557392,6.338455944795316,175.74004460136157,157.3135443079023,0.0013328585714336395,4.403118013340597e-06,64
LIME,21.924041748046875,323.72273283846243,6.0996194144374485,136.18098620739298,64.36182686116662,0.3430573485919619,3.957433119222573e-06,64
Exposure,22.46636962890625,918.2487278295829,6.335186868696529,151.2637773253394,114.5023386236935,0.2985586724150552,0.170924081420114,64
AdaptiveGamma,39.79261779785156,414.91707611587316,5.363439454427549,130.02630259384367,71.29646291037936,0.48570569050432955,0.03837792927966341,64
DL_Model,26.398067220052084,1196.4229445202336,6.805122465990939,158.9525562262599,77.75780721806959,0.1767469135802469,2.6094276094276095e-05,15
